x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89635.77835585589,43140.17756599314,6.5,0.0,0.0,-0.41881445402612427,0.9080718325654636,7.943682381294025
89636.31486356168,43139.59216758532,6.5,0.0,0.0,-0.38240765792917114,0.9239937138082305,7.9531422083214425
89636.90637198793,43139.05089580821,6.5,0.0,0.0,-0.3366913814860576,0.9416150559719243,7.958775720772898
89637.55217286006,43138.57760671486,6.5,0.0,0.0,-0.28116991718079765,0.9596580003691645,7.947436167214038
89638.30863135887,43138.15204025172,6.5,0.0,0.0,-0.22220727562824133,0.9749994495679856,7.935585654450167
89639.0440129834,43137.86035650985,6.5,0.0,0.0,-0.15614699732922055,0.9877338281263168,7.929675361483605
89639.78338578616,43137.67381237735,6.5,0.0,0.0,-0.0942755543033834,0.9955461415026376,7.8916001483522615
89640.53825210569,43137.574794822795,6.5,0.0,0.0,-0.03496176129477596,0.9993886507496306,7.873501267398783
89641.39846277107,43137.5606729599,6.5,0.0,0.0,0.020067649718064868,0.9997986244413387,7.848441056140785
89642.15111234828,43137.639566584556,6.5,0.0,0.0,0.07421786027885016,0.9972420514677613,7.836716233324454
89642.88442057888,43137.7830840694,6.5,0.0,0.0,0.12278737968691854,0.9924329999499314,7.824623360697368
89643.73688066757,43138.038060459025,6.5,0.0,0.0,0.1716634648165588,0.9851556500610318,7.787596854962274
89644.3368014877,43138.30508876816,6.5,0.0,0.0,0.24448065193435387,0.9696541707380798,7.767274941317673
89645.16040699094,43138.80462373758,6.5,0.0,0.0,0.2980697564651857,0.954544090275973,7.72705675924354
89645.71919038933,43139.26170816093,6.5,0.0,0.0,0.36896575998497133,0.9294429880087925,7.689387901761176
89646.23464299615,43139.81706332016,6.5,0.0,0.0,0.4332998018953487,0.9012498442038431,7.653008286899929
89646.66366100985,43140.44289314252,6.5,0.0,0.0,0.5026567283229649,0.86448609790537,7.59843406987477
89647.05674863384,43141.26140329879,6.5,0.0,0.0,0.5624975498083821,0.8267989516560642,7.5728745505731885
89647.27255518608,43141.98529649159,6.5,0.0,0.0,0.6271752318496665,0.7788781859535656,7.557829975441313
89647.39545422855,43142.81277172195,6.5,0.0,0.0,0.675351778522423,0.7374957459176291,7.558196757147363
89647.40617726815,43143.501311590124,6.5,0.0,0.0,0.7209741475423515,0.6929619604102232,7.563243300122458
89647.33839237003,43144.252326486625,6.5,0.0,0.0,0.7563339514770557,0.6541857181589207,7.5701701477963965
89647.18420615139,43145.02582451561,6.5,0.0,0.0,0.788397794264062,0.6151657646517414,7.5899803980847445
89646.96727061686,43145.73287856293,6.5,0.0,0.0,0.8142282955624238,0.5805448154152358,7.620812568639864
89646.68163811487,43146.48354824367,6.5,0.0,0.0,0.8312024589343526,0.5559698483384561,7.661205654875175
89646.3793178863,43147.1561907444,6.5,0.0,0.0,0.8449845501609323,0.5347907160650107,7.694327282535749
89646.03444620957,43147.850188419194,6.5,0.0,0.0,0.8544551377661961,0.5195251847071044,7.744057562553922
89645.6649053469,43148.534480200164,6.5,0.0,0.0,0.8631203207795317,0.504998328568955,7.789607153776085
89645.25338972296,43149.2398817286,6.5,0.0,0.0,0.8729032152845388,0.48789340715561424,7.830914045203238
89644.82049604069,43149.90728577291,6.5,0.0,0.0,0.8837624779483993,0.46793576756912375,7.886237728487056
89644.3780890038,43150.527884951174,6.5,0.0,0.0,0.8942724806607529,0.44752288246844246,7.934772259230987
89643.69375383532,43151.4117754544,6.5,0.0,0.0,0.9024090643128534,0.43088035537257946,8.001405707796883
89643.13962529185,43152.059821762916,6.5,0.0,0.0,0.9097489757668158,0.41515876612596003,8.052991310191533
89642.60843883427,43152.662870880005,6.5,0.0,0.0,0.9115563469865678,0.41117517710642976,8.103655345720991
89642.06799286987,43153.27352800516,6.5,0.0,0.0,0.9093620416514976,0.4160056216007423,8.152558373488699
89641.4607131368,43153.990898074415,6.5,0.0,0.0,0.9034573463379484,0.4286779949425821,8.22742119412065
89640.92265363556,43154.676221571426,6.5,0.0,0.0,0.8951893544850438,0.44568601011996184,8.229590418233034
89640.41640757854,43155.37344587968,6.5,0.0,0.0,0.8887055494386987,0.45847840341379287,8.212684916626957
89639.9660741167,43156.02116227777,6.5,0.0,0.0,0.8832183480876709,0.46896199163822,8.183571276602464
89639.53752205653,43156.67320907724,6.5,0.0,0.0,0.8789882286775935,0.47684346891430385,8.196855734380682
89639.02663433395,43157.46550296004,6.5,0.0,0.0,0.877985073764456,0.4786880092991914,8.20793318308287
89638.62828676806,43158.08403890935,6.5,0.0,0.0,0.8780044741388842,0.4786524244084652,8.2277051577046
89638.18201272652,43158.7758406401,6.5,0.0,0.0,0.8795875907464449,0.4757369758646731,8.256215561998308
